Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors
360 One Wam Limited,Financial Services (capital markets),57,57,69,62,Strong,Mar-23,All sectors adequate
3M India Limited,Industrials,37,47,72,53,Adequate,Mar-22,Environment/Social
Aadhar Housing Finance Limited,NBFC,46,47,67,55,Adequate,Mar-23,Environment/Social
Aarti Drugs Limited,Pharmaceuticals,29,45,63,46,Adequate,Mar-22,Environment/Social
Aarti Industries Limited,Chemicals - Speciality Chemicals,43,61,63,56,Adequate,Mar-23,Environment
AAVAS Financiers Limited,NBFC,52,56,71,61,Strong,Mar-23,All sectors adequate
ABB India Limited,Heavy Electrical Equipment,51,57,71,CRISIL ESG 61,Strong,Mar-23,All sectors adequate
Abbott India Limited,Pharmaceuticals,38,49,68,53,Adequate,Mar-22,Environment/Social
ACC Limited,Cement,45,55,59,53,Adequate,Mar-23,Environment
Accelya Solutions India Limited,IT,40,62,75,60,Adequate,Jun-23,Environment
Action Construction Equipment Limited,Industrials,29,38,66,46,Adequate,Mar-22,Environment/Social
Adani Energy Solutions Limited,Power T&D,55,66,64,61,Strong,Mar-23,All sectors adequate
Adani Enterprises Limited,Diversified,30,58,57,48,Adequate,Mar-22,Environment
Adani Green Energy Limited,"Power Renewable (Solar, Wind)",67,66,64,66,Strong,Mar-23,All sectors adequate
Adani Ports & Special Economic Zone Limited,Ports & Port Services,47,63,61,57,Adequate,Mar-23,Environment
Adani Power Limited,Power Thermal,41,61,64,55,Adequate,Mar-23,Environment
Adani Total Gas Limited,Oil & Gas - Gas,51,64,61,58,Adequate,Mar-23,All sectors adequate
Adani Wilmar Limited,FMCG,49,48,65,55,Adequate,Mar-23,Environment/Social
ADF Foods Limited,FMCG,38,47,61,49,Below Average,Mar-23,Environment/Social
Aditya Birla Capital Limited,Holding company,48,45,70,56,Adequate,Mar-22,Environment/Social
Aditya Birla Fashion & Retail Limited,Consumer Retail,55,63,70,63,Strong,Mar-22,All sectors adequate
Aditya Birla Housing Finance Limited,NBFC,46,44,66,54,Adequate,Mar-23,Environment/Social
Aditya Birla Sun Life AMC Limited,Financial Services (Capital Market),60,49,69,61,Strong,Mar-23,Social
Ador Welding Limited,Industrials,28,40,67,47,Adequate,Mar-22,Environment/Social
Advanced Enzyme Technologies Limited,Pharmaceuticals,50,66,67,61,Strong,Mar-22,All sectors adequate
Aegis Logistics Limited,Logistics,31,34,68,47,Below Average,Mar-23,Environment/Social
Aether Industries Limited,Chemicals - Speciality Chemicals,28,58,66,51,Adequate,Mar-23,Environment
Affle (India) Limited,IT,36,49,75,55,Adequate,Mar-23,Environment/Social
AGI Greenpac Limited,Building material,30,41,64,46,Adequate,Mar-22,Environment/Social
Agro Tech Foods Limited,FMCG,39,54,63,52,Adequate,Mar-23,Environment
AGS Transact Technologies Limited,IT,41,54,64,54,Adequate,Mar-23,Environment
Ahluwalia Contracts India Limited,Construction EPC,30,54,65,50,Below Average,Mar-23,Environment
AIA Engineering Limited,Heavy Engineering,47,45,68,55,Adequate,Mar-22,Environment/Social
Ajanta Pharma Limited,Pharmaceuticals,48,63,67,59,Adequate,Mar-22,Environment
Akzo Nobel India Limited,Paints,54,56,70,61,Strong,Mar-23,All sectors adequate
Alembic Limited,Real Estate,27,48,72,50,Below Average,Mar-23,Environment/Social
Alembic Pharmaceuticals Limited,Pharmaceuticals,33,52,65,51,Adequate,Mar-22,Environment
Alicon Castalloy Limited,Auto Ancillary,25,36,61,42,Below Average,Mar-22,Environment/Social
Alkem Laboratories Limited,Pharmaceuticals,43,49,67,54,Adequate,Mar-22,Environment/Social
Alkyl Amines Chemicals Limited,Chemicals - Speciality Chemicals,36,44,58,47,Below Average,Mar-23,Environment/Social
Allcargo Gati Limited,Logistics,32,39,64,46,Below Average,Mar-23,Environment/Social
Allcargo Logistics Limited,Logistics,34,37,63,46,Below Average,Mar-23,Environment/Social
Alok Industries Limited,Textiles,28,58,58,CRISIL ESG 47,Below Average,Mar-23,Environment
Amara Raja Energy & Mobility Limited,Batteries,27,41,65,46,Adequate,Mar-22,Environment/Social
Amber Enterprises India Limited,Durables & Electricals,44,54,65,55,Adequate,Mar-22,Environment
Ambuja Cements Limited,Cement,43,54,56,51,Adequate,Mar-23,Environment
Ami Organics Limited,Pharmaceuticals,42,51,68,55,Adequate,Mar-22,Environment
Amrutanjan Health Care Limited,Pharmaceuticals,26,49,68,49,Adequate,Mar-22,Environment/Social
Anand Rathi Wealth Limited,Financial Services (capital markets),47,55,72,59,Adequate,Mar-23,Environment
Anant Raj Limited,Real Estate,30,50,67,50,Below Average,Mar-23,Environment
Andhra Paper Limited,Paper,29,51,65,49,Below Average,Mar-23,Environment
Angel One Limited,Financial Services (Capital Market),43,57,71,57,Adequate,Mar-23,Environment
Antony Waste Handling Cell Limited,Water and Waste Management,32,45,65,48,Adequate,Mar-22,Environment/Social
Anupam Rasayan India Limited,Chemicals - Speciality Chemicals,38,45,74,54,Adequate,Mar-23,Environment/Social
Apar Industries Limited,Other Electrical Equipment,53,59,68,CRISIL ESG 60,Adequate,Mar-23,All sectors adequate
Apcotex Industries Limited,Chemicals - Speciality Chemicals,36,63,72,57,Adequate,Mar-23,Environment
Apex Frozen Foods Limited,FMCG,41,54,66,54,Adequate,Mar-23,Environment
APL Apollo Tubes Limited,Metals - Linked Products,43,58,71,58,Adequate,Mar-23,Environment
Apollo Hospitals Enterprise Limited,Healthcare,53,67,70,63,Strong,Mar-23,All sectors adequate
Apollo Pipes Limited,Plastic Products - Pipes,42,53,67,55,Adequate,Mar-23,Environment
Apollo Tyres Limited,Tyre,47,59,66,58,Adequate,Mar-23,Environment
Aptus Value Housing Finance India Limited,NBFC,46,56,67,57,Adequate,Mar-23,Environment
Archean Chemical Industries Limited,Commodity Chemicals,20,50,65,46,Below Average,Mar-23,Environment
Arvind Fashions Limited,Consumer Retail,34,41,65,48,Adequate,Mar-22,Environment/Social
Arvind Limited,Textiles,46,57,70,CRISIL ESG 58,Adequate,Mar-23,Environment
Arvind Smartspaces Limited,Real Estate,34,51,65,51,Adequate,Mar-23,Environment
Asahi India Glass Limited,Industrials,28,36,63,44,Below Average,Mar-22,Environment/Social
Ashiana Housing Limited,Real Estate,34,48,60,48,Below Average,Mar-23,Environment/Social
Ashok Leyland Limited,Auto OEM,46,56,70,58,Adequate,Mar-23,Environment
Ashoka Buildcon Limited,Construction EPC,35,58,63,52,Adequate,Mar-23,Environment
Asian Paints Limited,Paints,58,60,77,66,Strong,Mar-23,All sectors adequate
Asian Star Company Limited,Consumer Retail,30,41,64,47,Adequate,Mar-22,Environment/Social
