Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
360 One Wam Limited,Financial Services (capital markets),57,57,69,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.75
3M India Limited,Industrials,37,47,72,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.0
Aadhar Housing Finance Limited,NBFC,46,47,67,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.0
Aarti Drugs Limited,Pharmaceuticals,29,45,63,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
Aarti Industries Limited,Chemicals - Speciality Chemicals,43,61,63,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
AAVAS Financiers Limited,NBFC,52,56,71,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,44.75
ABB India Limited,Heavy Electrical Equipment,51,57,71,CRISIL ESG 61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,44.75
Abbott India Limited,Pharmaceuticals,38,49,68,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.75
ACC Limited,Cement,45,55,59,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Accelya Solutions India Limited,IT,40,62,75,60,Adequate,Jun-23,Environment,Unknown,,0.0,44.25
Action Construction Equipment Limited,Industrials,29,38,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Adani Energy Solutions Limited,Power T&D,55,66,64,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.25
Adani Enterprises Limited,Diversified,30,58,57,48,Adequate,Mar-22,Environment,Unknown,,0.0,36.25
Adani Green Energy Limited,"Power Renewable (Solar, Wind)",67,66,64,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.25
Adani Ports & Special Economic Zone Limited,Ports & Port Services,47,63,61,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Adani Power Limited,Power Thermal,41,61,64,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Adani Total Gas Limited,Oil & Gas - Gas,51,64,61,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
Adani Wilmar Limited,FMCG,49,48,65,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.5
ADF Foods Limited,FMCG,38,47,61,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.5
Aditya Birla Capital Limited,Holding company,48,45,70,56,Adequate,Mar-22,Environment/Social,Unknown,,0.0,40.75
Aditya Birla Fashion & Retail Limited,Consumer Retail,55,63,70,63,Strong,Mar-22,All sectors adequate,Unknown,,0.0,47.0
Aditya Birla Housing Finance Limited,NBFC,46,44,66,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
Aditya Birla Sun Life AMC Limited,Financial Services (Capital Market),60,49,69,61,Strong,Mar-23,Social,Unknown,,0.0,44.5
Ador Welding Limited,Industrials,28,40,67,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Advanced Enzyme Technologies Limited,Pharmaceuticals,50,66,67,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,45.75
Aegis Logistics Limited,Logistics,31,34,68,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,33.25
Aether Industries Limited,Chemicals - Speciality Chemicals,28,58,66,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Affle (India) Limited,IT,36,49,75,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.0
AGI Greenpac Limited,Building material,30,41,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Agro Tech Foods Limited,FMCG,39,54,63,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
AGS Transact Technologies Limited,IT,41,54,64,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
